averageRating,numVotes,releaseYear,genres_Action,"genres_Action, Adventure, Animation","genres_Action, Adventure, Biography","genres_Action, Adventure, Comedy","genres_Action, Adventure, Drama","genres_Action, Adventure, Fantasy","genres_Action, Adventure, Sci-Fi","genres_Action, Animation, Comedy","genres_Action, Animation, Crime","genres_Action, Animation, Drama","genres_Action, Animation, Fantasy","genres_Action, Comedy","genres_Action, Comedy, Crime","genres_Action, Comedy, Drama","genres_Action, Comedy, Horror","genres_Action, Comedy, Sci-Fi","genres_Action, Crime, Drama","genres_Action, Crime, Mystery","genres_Action, Crime, Romance","genres_Action, Crime, Thriller","genres_Action, Drama","genres_Action, Drama, Fantasy","genres_Action, Drama, History","genres_Action, Drama, Horror","genres_Action, Drama, Mystery","genres_Action, Drama, Romance","genres_Action, Drama, Sci-Fi","genres_Action, Drama, Thriller","genres_Action, Drama, Western","genres_Action, Fantasy, Horror","genres_Action, Fantasy, Mystery","genres_Action, Mystery, Thriller","genres_Adventure, Animation, Comedy","genres_Adventure, Animation, Drama","genres_Adventure, Animation, Family","genres_Adventure, Biography, Drama","genres_Adventure, Comedy, Crime","genres_Adventure, Comedy, Documentary","genres_Adventure, Comedy, Drama","genres_Adventure, Comedy, Family","genres_Adventure, Comedy, Fantasy","genres_Adventure, Comedy, Sci-Fi","genres_Adventure, Crime, Drama","genres_Adventure, Documentary","genres_Adventure, Drama, Family","genres_Adventure, Drama, Fantasy","genres_Adventure, Drama, History","genres_Adventure, Drama, Horror","genres_Adventure, Drama, Sci-Fi","genres_Adventure, Drama, Western","genres_Adventure, Family, Fantasy","genres_Adventure, Fantasy","genres_Adventure, Reality-TV","genres_Adventure, Sport, Talk-Show","genres_Animation, Comedy","genres_Animation, Comedy, Drama","genres_Animation, Comedy, Family","genres_Animation, Comedy, Fantasy","genres_Animation, Comedy, Music","genres_Animation, Comedy, Romance","genres_Animation, Comedy, Sci-Fi","genres_Animation, Comedy, Short","genres_Animation, Comedy, Sport","genres_Animation, Comedy, Talk-Show","genres_Animation, Crime, Drama","genres_Animation, Documentary, History","genres_Animation, Drama, Family","genres_Animation, Drama, Fantasy","genres_Animation, Drama, History","genres_Animation, Drama, Horror","genres_Animation, Drama, Mystery","genres_Animation, Family","genres_Animation, Sport, Thriller","genres_Biography, Comedy","genres_Biography, Comedy, Drama","genres_Biography, Crime, Documentary","genres_Biography, Crime, Drama","genres_Biography, Documentary","genres_Biography, Documentary, History","genres_Biography, Documentary, Music","genres_Biography, Documentary, Sport","genres_Biography, Drama","genres_Biography, Drama, History","genres_Biography, Drama, Music","genres_Biography, Drama, Sport",genres_Comedy,"genres_Comedy, Crime","genres_Comedy, Crime, Drama","genres_Comedy, Crime, Fantasy","genres_Comedy, Crime, Mystery","genres_Comedy, Crime, Talk-Show","genres_Comedy, Documentary","genres_Comedy, Documentary, Reality-TV","genres_Comedy, Drama","genres_Comedy, Drama, Family","genres_Comedy, Drama, Fantasy","genres_Comedy, Drama, History","genres_Comedy, Drama, Horror","genres_Comedy, Drama, Music","genres_Comedy, Drama, Musical","genres_Comedy, Drama, Mystery","genres_Comedy, Drama, Romance","genres_Comedy, Drama, Sport","genres_Comedy, Drama, Thriller","genres_Comedy, Drama, War","genres_Comedy, Family","genres_Comedy, Family, Horror","genres_Comedy, Family, Musical","genres_Comedy, Family, Talk-Show","genres_Comedy, Fantasy","genres_Comedy, Fantasy, Horror","genres_Comedy, Fantasy, Musical","genres_Comedy, Fantasy, Romance","genres_Comedy, Game-Show","genres_Comedy, History, War","genres_Comedy, Horror","genres_Comedy, Music","genres_Comedy, Music, Musical","genres_Comedy, Music, Talk-Show","genres_Comedy, Musical, Sci-Fi","genres_Comedy, Mystery, Romance","genres_Comedy, News","genres_Comedy, News, Talk-Show","genres_Comedy, Reality-TV","genres_Comedy, Romance","genres_Comedy, Sci-Fi","genres_Comedy, Short","genres_Comedy, Sport","genres_Comedy, Sport, Talk-Show","genres_Comedy, Talk-Show","genres_Comedy, War",genres_Crime,"genres_Crime, Documentary","genres_Crime, Documentary, Mystery","genres_Crime, Drama","genres_Crime, Drama, Fantasy","genres_Crime, Drama, History","genres_Crime, Drama, Horror","genres_Crime, Drama, Mystery","genres_Crime, Drama, Romance","genres_Crime, Drama, Thriller","genres_Crime, Mystery, Romance","genres_Crime, Mystery, Thriller","genres_Crime, Thriller",genres_Documentary,"genres_Documentary, Drama, History","genres_Documentary, Family","genres_Documentary, History, War","genres_Documentary, Music","genres_Documentary, Mystery, Reality-TV","genres_Documentary, Short","genres_Documentary, Sport",genres_Drama,"genres_Drama, Family","genres_Drama, Family, Romance","genres_Drama, Fantasy","genres_Drama, Fantasy, Horror","genres_Drama, Fantasy, Mystery","genres_Drama, Fantasy, Romance","genres_Drama, History","genres_Drama, History, Romance","genres_Drama, History, Thriller","genres_Drama, History, War","genres_Drama, Horror, Mystery","genres_Drama, Horror, Sci-Fi","genres_Drama, Horror, Thriller","genres_Drama, Music","genres_Drama, Music, Musical","genres_Drama, Music, Romance","genres_Drama, Mystery","genres_Drama, Mystery, Romance","genres_Drama, Mystery, Sci-Fi","genres_Drama, Mystery, Thriller","genres_Drama, Romance","genres_Drama, Romance, Thriller","genres_Drama, Sci-Fi","genres_Drama, Sci-Fi, Thriller","genres_Drama, Sport","genres_Drama, Thriller","genres_Drama, War","genres_Drama, Western","genres_Fantasy, Mystery, Romance","genres_Fantasy, War","genres_Game-Show, Reality-TV",genres_Reality-TV,genres_Thriller
9.3,45192,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3,32377,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3,11249,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,2357147,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,494533,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,313493,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,160153,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,130618,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,53065,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,50743,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,33569,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,30464,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
